window_start,window_end,VaR_95,ES_95,Max_Drawdown,Sector_Contributions
2007-09-28,2009-10-21,0.008670715378675515,0.0033820779707318537,-0.05715512645786211,"{'Consumer': 0.003641256387146249, 'Energy': 0.008866247885483845, 'Finance': 0.013057991437053785, 'IT': 0.009570885301804787, 'Pharma': 0.005597133564155082}"
2007-10-30,2009-11-20,0.00843617117681077,0.0036347333254397357,-0.05775446387490081,"{'Consumer': 0.003656559276312316, 'Energy': 0.008496246058318259, 'Finance': 0.012840868265392583, 'IT': 0.009776530988622158, 'Pharma': 0.005609250220990436}"
2007-11-29,2009-12-21,0.008277134164367218,0.003739483251543003,-0.05824522506950794,"{'Consumer': 0.003624063385922004, 'Energy': 0.00840681494184856, 'Finance': 0.01273450224699677, 'IT': 0.009792658063198038, 'Pharma': 0.005647293044619846}"
2008-01-01,2010-01-22,0.008066441573494856,0.003942666759027808,-0.058637127302589194,"{'Consumer': 0.003571621582520176, 'Energy': 0.00821568796339327, 'Finance': 0.012680265897863547, 'IT': 0.009722545328392179, 'Pharma': 0.00555849023486933}"
2008-01-30,2010-02-23,0.008056407049631812,0.002483682504334631,-0.05088888910196222,"{'Consumer': 0.0032509482609319983, 'Energy': 0.007614370190473647, 'Finance': 0.012576513818289852, 'IT': 0.009676202196908805, 'Pharma': 0.005226324941062629}"
2008-02-28,2010-03-26,0.00744217214913705,0.002804624697259449,-0.051786703236418485,"{'Consumer': 0.003110835042297687, 'Energy': 0.007258780869300968, 'Finance': 0.01261540066787304, 'IT': 0.009516726889546584, 'Pharma': 0.005207800913960641}"
2008-04-02,2010-04-28,0.008707488265826967,0.002506585426583694,-0.05297923949546321,"{'Consumer': 0.0030177916823794847, 'Energy': 0.006934807875949506, 'Finance': 0.012297300296217832, 'IT': 0.009257461645330888, 'Pharma': 0.005119400942973568}"
2008-05-06,2010-05-27,0.008424094097863492,0.0026067879030602014,-0.05326826490832633,"{'Consumer': 0.003033732161499044, 'Energy': 0.006906226508906488, 'Finance': 0.012205782957356812, 'IT': 0.009078795120127641, 'Pharma': 0.005054830491176132}"
2008-06-05,2010-06-25,0.00882636876925395,0.0028761640225653516,-0.05405443362206999,"{'Consumer': 0.0030733501209541463, 'Energy': 0.006909694424111261, 'Finance': 0.012158493728065782, 'IT': 0.009097822820510816, 'Pharma': 0.004987909033315401}"
2008-07-04,2010-07-26,0.008818828533076148,0.003025434853570123,-0.05775218125964001,"{'Consumer': 0.0029944747570534156, 'Energy': 0.006802487977449531, 'Finance': 0.011931681571457338, 'IT': 0.008978566981745354, 'Pharma': 0.00488595963986489}"
2008-08-04,2010-08-24,0.009586884825382197,0.0035402655691031152,-0.06227412838345917,"{'Consumer': 0.002896775773199682, 'Energy': 0.006383205479612028, 'Finance': 0.011247529635652464, 'IT': 0.008863130997202253, 'Pharma': 0.00490291055600913}"
2008-09-04,2010-09-23,0.009200894191234607,0.0037527384741090587,-0.06369721396676904,"{'Consumer': 0.002863375867864835, 'Energy': 0.006293296736813752, 'Finance': 0.010946311613322322, 'IT': 0.008839740697564612, 'Pharma': 0.004928559836864546}"
2008-10-06,2010-10-22,0.008832095849271599,0.00417738929611844,-0.06597056223890328,"{'Consumer': 0.002870299509130864, 'Energy': 0.006253584749672721, 'Finance': 0.01070226447369426, 'IT': 0.008674040113362242, 'Pharma': 0.004966313776933915}"
2008-11-07,2010-11-24,0.007408200117662383,0.0001809118995259837,-0.01868966822997998,"{'Consumer': 0.0023228627470028083, 'Energy': 0.005257233694682393, 'Finance': 0.0097038383042207, 'IT': 0.0076248265625715244, 'Pharma': 0.004574501462933177}"
2008-12-10,2010-12-24,0.007007658871367729,0.0005840207916891558,-0.020596520770070844,"{'Consumer': 0.0022476193672191416, 'Energy': 0.004892071962318335, 'Finance': 0.009330866743792467, 'IT': 0.007348272224455955, 'Pharma': 0.004463614184333262}"
2009-01-13,2011-01-24,0.006357481599981418,0.0009266043156537348,-0.014587964472016006,"{'Consumer': 0.0022891047822028152, 'Energy': 0.004604754114898984, 'Finance': 0.008973021907005836, 'IT': 0.00696307926457813, 'Pharma': 0.0043361127616025254}"
2009-02-12,2011-02-23,0.006253324289224321,0.0014524889336798785,-0.014944721443606463,"{'Consumer': 0.0023780464518062894, 'Energy': 0.0044160155752121, 'Finance': 0.008752846474098927, 'IT': 0.006807846427809601, 'Pharma': 0.004218026084658086}"
2009-03-18,2011-03-25,0.006652266540617048,0.0018103761326462098,-0.015314323349747241,"{'Consumer': 0.0023659900387419846, 'Energy': 0.0044501996302114145, 'Finance': 0.008538953357482374, 'IT': 0.006762131111458609, 'Pharma': 0.004412221911441575}"
2009-04-22,2011-04-28,0.006795538203456906,0.0016187534606218173,-0.01611139004268276,"{'Consumer': 0.002441322177957415, 'Energy': 0.004346300038984553, 'Finance': 0.007812742855125973, 'IT': 0.006616847338361731, 'Pharma': 0.004268368062014872}"
2009-05-22,2011-05-27,0.036872685750128496,0.041792440279254876,-0.9999377042952189,"{'Consumer': -0.0018996271422788086, 'Energy': -0.003241346748233309, 'Finance': -0.005937160697141546, 'IT': -0.004906534094891507, 'Pharma': -0.003003545609343564}"
2009-06-22,2011-06-27,0.03565490235666218,0.0407505730897063,-0.9999148799956494,"{'Consumer': -0.0019260440385983565, 'Energy': -0.003179692842114764, 'Finance': -0.005730814596750785, 'IT': -0.004560789172871973, 'Pharma': -0.0030317682732089093}"
2009-07-21,2011-07-26,0.03315504677572244,0.03883778160317951,-0.9998733238765316,"{'Consumer': -0.0021025177867184754, 'Energy': -0.0030605720034650855, 'Finance': -0.005340054936239238, 'IT': -0.004176467250923276, 'Pharma': -0.0029851739473983297}"
2009-08-19,2011-08-25,0.034365967408606236,0.03827893943120018,-0.9998713726456805,"{'Consumer': -0.0018144180814495283, 'Energy': -0.003047426440947739, 'Finance': -0.005292511784007733, 'IT': -0.0044183868324282, 'Pharma': -0.0030601575105963174}"
2009-09-17,2011-09-27,0.035245942371044996,0.03942603775640793,-0.9999083270751637,"{'Consumer': -0.0018603392269020687, 'Energy': -0.0031343140767126415, 'Finance': -0.005490199928735707, 'IT': -0.004705147961397977, 'Pharma': -0.0030787069533766784}"
2009-10-22,2011-10-31,0.03559858886830435,0.03978870445921811,-0.9999243037653491,"{'Consumer': -0.0019381492175632802, 'Energy': -0.0031443825203748385, 'Finance': -0.005628397723498287, 'IT': -0.004872756040773292, 'Pharma': -0.003079291614351089}"
2009-11-23,2011-12-01,0.03541950623111673,0.039496852896904806,-0.9999262388969467,"{'Consumer': -0.0018489754465416208, 'Energy': -0.0032755053459463356, 'Finance': -0.005611677158164055, 'IT': -0.00479939072343335, 'Pharma': -0.0031276063424231825}"
2009-12-22,2012-01-02,0.002757404884183799,0.0013394994937285184,-0.012519906710591808,"{'Consumer': 0.002099916910122151, 'Energy': 0.003354132477887982, 'Finance': 0.00581206519751526, 'IT': 0.004853956597552874, 'Pharma': 0.003264165955632391}"
2010-01-25,2012-02-01,0.03576343872444053,0.039766245586768646,-0.9999369627434896,"{'Consumer': -0.0016868206182991752, 'Energy': -0.003540312661422834, 'Finance': -0.00590364435494554, 'IT': -0.004718912086920882, 'Pharma': -0.003165084418865382}"
2010-02-24,2012-03-02,0.0354513302023851,0.03901385795848919,-0.9999253561172904,"{'Consumer': -0.0016424177006773243, 'Energy': -0.0035121244050313576, 'Finance': -0.005907655274061448, 'IT': -0.004479483240951586, 'Pharma': -0.0031294351521039382}"
2010-03-29,2012-04-03,0.03595944211279368,0.039476521085217556,-0.9999406073003961,"{'Consumer': -0.001647719858001682, 'Energy': -0.003667856592607523, 'Finance': -0.006106873683973106, 'IT': -0.004476507621591849, 'Pharma': -0.003209866282974278}"
2010-04-29,2012-05-07,0.036162713783041915,0.03961326654771712,-0.9999442784310115,"{'Consumer': -0.0016947817018882158, 'Energy': -0.0037152335443874146, 'Finance': -0.006165918089873902, 'IT': -0.004503181884821861, 'Pharma': -0.003159716491233715}"
2010-05-28,2012-06-05,0.03560456774638623,0.03896544706521642,-0.9999380776073038,"{'Consumer': -0.001601512770098804, 'Energy': -0.00372373843226605, 'Finance': -0.006085278054322623, 'IT': -0.00435265925986119, 'Pharma': -0.0032419021808501925}"
